name;price;diameter;weight;alloy;denomination;edge;producer
Itchy and Scratchy coloured 1 oz Silver 2021 Proof;$90.78;40,9 mm;1 oz;Ag .9999;1 Dollar;Reeded;Perth Mint
Swan 1 oz Silver 2021 Proof;$72.36;40,6 mm;1 oz;Ag .9999;1 AUD;null;Perth Mint
Australian Nugget: Golden Eagle 1 oz Silver 2021;$38.42;40,6 mm;1 oz;Ag .9999;1 AUD;Reeded;Perth Mint
American Eagle 1 oz Silver 2021 type 2;$42.10;40,6 mm;1 oz;Ag .999;1$;Reeded;United States Mint
Chinese Myths and Legends: Dragon Coloured (Coin in card version) 1 oz Silver 2021;$104.99;40,6 mm;1 oz;Ag .9999;1 AUD;Reeded;Perth Mint
Chinese Myths and Legends: Dragon Coloured 1 oz Silver 2021;$56.57;40,6 mm;1 oz;Ag .9999;1 AUD;Reeded;Perth Mint
Chinese Myths and Legends: Dragon 1 oz Silver 2021;$38.42;40,6 mm;1 oz;Ag .9999;1 AUD;Reeded;Perth Mint
Music Legends: THE WHO 1 oz Silver 2021 Proof;$144.45;38,61 mm;1 oz;Ag .999;£2;Reeded;The Royal Mint
Music Legends: THE WHO 1 oz Silver 2021;$36.84;38,61 mm;1 oz;Ag .999;£2;Reeded;The Royal Mint
Australian Emu 1 oz Silver 2021 MS 70 NGC First Day of Issue;$94.72;40,6 mm;1 oz;Ag .9999;1 AUD;Reeded;Perth Mint
Australia Zoo: Cheetah 1 oz Silver 2021;$44.47;40 mm;1 oz;Ag .999;1 Dollar;null;Royal Australian Mint
Ghana: Giants of the Ice Age - Woolly Rhinoceros 1 oz Silver 2021;$38.15;38,6 mm;1 oz;null;5 Cedis GHS;Reeded;Leipziger Edelmetallverarbeitung
2021 Tokelau 1 oz Silver Porcupine Fish BU;$38.15;38,6 mm;1 oz;Ag .999;5 $;Reeded;null
Beneath the Southern Skies 1 oz Silver 2021;$35.52;40 mm;1 oz;Ag .9999;1 Dollar;null;Royal Australian Mint
Fraser's Dolphin 1 oz Silver 2021;$40.78;40 mm;1 oz;Ag .999;1 Dollar;null;Royal Australian Mint
Swan 1 oz Silver 2021;$49.73;40,6 mm;1 oz;Ag .9999;null;null;Perth Mint
Niue: Hawksbill Turtle 1 oz Silver 2021;$40.78;40,6 mm;1 oz;Ag .999;2$;Reeded;New Zealand Mint
Niue: Hawksbill Turtle 1 oz Silver 2020;$38.15;40,6 mm;1 oz;Ag .999;2$;Reeded;New Zealand Mint
Niue: Godzilla vs. King Kong 1 oz Silver 2-Coin Set 2021 Colorized  ;$393.37;39 mm;2 oz;Ag .999;2$;null;Private Mint 
Niue: Mechagodzilla 1 oz Silver 2021 Colorized  ;$59.20;39 mm;1 oz;Ag .999;2$;null;Private Mint 
Niue: Godzilla vs. King Kong 1 oz Silver 2021 Colorized  ;$59.20;39 mm;1 oz;Ag .999;2$;null;Private Mint 
Niue: Godzilla 1 oz Silver 2021 Colorized  ;$59.20;39 mm;1 oz;Ag .999;2$;null;Private Mint 
Niue: King Kong 1 oz Silver 2021 Colorized  ;$59.20;39 mm;1 oz;Ag .999;2$;null;Private Mint 
Niue: King Kong 1 oz Silver 2021 Slab;$51.31;39 mm;1 oz;Ag .999;2$;null;Private Mint 
Niue: Godzilla 1 oz Silver 2021 Slab;$51.31;39 mm;1 oz;Ag .999;2$;null;Private Mint 
Niue: King Kong 1 oz Silver 2021;$41.84;39 mm;1 oz;Ag .999;2$;null;Private Mint 
Niue: Godzilla 1 oz Silver 2021;$41.84;39 mm;1 oz;Ag .999;2$;null;Private Mint 
Tokelau: Zodiac Series - Taurus 1 oz Silver 2021 ;$38.15;38,6 mm;1 oz;Ag .999;5 $;Reeded;null
Tokelau: Zodiac Series - Virgo 1 oz Silver 2021 ;$38.15;38,6 mm;1 oz;Ag .999;5 $;Reeded;null
Tokelau: Zodiac Series - Scorpio 1 oz Silver 2021 ;$38.15;38,6 mm;1 oz;Ag .999;5 $;Reeded;null
Tokelau: Zodiac Series - Sagittarius 1 oz Silver 2021 ;$38.15;38,6 mm;1 oz;Ag .999;5 $;Reeded;null
Tokelau: Zodiac Series - Pisces 1 oz Silver 2021 ;$38.15;38,6 mm;1 oz;Ag .999;5 $;Reeded;null
